Monday Night Football Passwords by
Lord Mercury
Brought to you by All Scanned Productions INC.



Page #       	Jersy #
COVER		54
2		91
3		83               
4		96
5		12
6		84
7		93
8		76
9		37
10		78
11		24
12		41
13		95
14		40
15		28
16		16
17		82
18		56
19		48
20		77
21		36
22		60
23		71
24		59
25		81
26		57
27		69
28		58
29		99
30		67
31		11
32		62
33		51
34		21
35		87
36		94
37		63
38		88
39		61
40		73
41		72
42		85
43		68
44		20
45		74
46		98
47		32
48		43
49		31
50		19
51		44
52		86
53		97
54		79
55		35
56		23
57		47
58		66
59		17
60		29
61		46
62		34
63		50
64		14
